HL7 v2,,,,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Minimum,Cardinality - Maximum,Core Version,Incubator Version,Computable - ANTLR,Computable - FHIRPath,Narrative,FHIR Attribute/ Data Type,,Data Type,Cardinality - Minimum,Cardinality - Maximum,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,ID.1,Identifier,ST,0,1,"F-R4, F-R6",,,,,coding.code,,code,0,1,,,,,
1,ID.1,Identifier,ST,0,1,"F-R4, F-R6",,,,,coding.system,,uri,0,1,,,"""http://terminology.hl7.org/CodeSystem/v2-0301""",,
