sam,,,,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,PRL.1,Parent Observation Identifier,CWE,1,1,"F-R4, F-R6",,,,,code,,CodeableConcept,1,1,CWE[CodeableConcept],,,,"Note that in Observation there is category field that depending on implementation guide and/or realm is required.   MSH-9.2 Trigger Event, the MSH-3 Sending Application and OBX-3 Observation Identifier's code system ontology  would inform how to value Observation.category."
2,PRL.2,Parent Observation Sub-identifier,ST,0,1,"F-R4, F-R6",,,,"Map to Observation.partOf or Observation.hasMember or Observation.DerivedFrom according to the implementation guidance for the v2 message at hand, otherwise map to the extension-sub-id to enable the final destination to determine how to structure the observations.",,,,,,,,,,"OBX-4 Sub Identifier would determine how to use Observation.partOf or Observation.hasMember or Observation.DerivedFrom, but is highly dependent on the local implementation of OBX-4 or an implementation guide (e.g., LRI, Clinical Genomics).  That is not known at the standard level, so we cannot provide specific mapping guidance here.  However, if the mapper does not have access to the syntax used and its meaning, we need to be able to pass on OBX-4 Sub Identifier to the final destination that should know how to then structure it using FHIR attributes."
3,PRL.3,Parent Observation Value Descriptor,TX,0,1,"F-R4, F-R6",,,,,valueString,,quantity,0,1,NM[Quantity],,,,
