HL7 v2,,,,,,FHIR Version,,,Condition (IF True),,HL7 FHIR,,,,,,,,,Comments
Display Sequence,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute/ Data Type,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Derived Mapping,,
1,DLD.1,Discharge to Location,CWE,1,1,"F-R4, F-R6",,,,,type,,CodeableConcept,,,CWE[CodeableConcept],DischargedToLocation,,,
2,DLD.2,Effective Date,DTM,0,1,"F-R4, F-R6",,,,,,,,,,,,,,If a Discharge DateTime is available as a separate field (eg. PV1-45) use of that field is preferred pending any specific local requirements
