HL7 v2,,,,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute/ Data Type,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
0,MSG,,,,,"F-R4, F-R6",,,,,display,,,,,,,"MSG.1+""^""+MSG.2+""^""+MSG.3",,
1,MSG.1,Message Code,ID,1,1,"F-R4, F-R6",,,,,,,,,,,,,,
2,MSG.2,Trigger Event,ID,1,1,"F-R4, F-R6",,,,,code,,,,,,,,,
2,MSG.2,Trigger Event,ID,1,1,"F-R4, F-R6",,,,,system,,,,,,,"""http://terminology.hl7.org/CodeSystem/v2-0003""",,
3,MSG.3,Message Structure,ID,1,1,"F-R4, F-R6",,,,,,,,,,,,,,"This should be mapped to MessageHeader.definition, but we do not have a library of HL7 v2 equivalent FHIR Message Definitions."
