HL7 v2,,,,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute/ Data Type,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,EI.1,Entity Identifier,ST,0,1,"F-R4, F-R6",,,,,$value,,string,,,,,,,
2,EI.2,Namespace ID,IS,0,1,"F-R4, F-R6",,,,Determine based on implementation context whether to map EI.2 to system or EI.3 to system,system,,url,,,,,,,
3,EI.3,Universal ID,ST,0,1,"F-R4, F-R6",,,,Determine based on implementation context whether to map EI.3 to system or EI.2 to system,system,,url,,,,,,,
4,EI.4,Universal ID Type,ID,0,1,"F-R4, F-R6",,,,,type,,CodeableConcept,,,ID[CodeableConcept],,,,
