HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
CRI,Costa Rica,HL70399,"F-R4, F-R6",,,,,CRI,,Costa Rica,urn:iso:std:iso:3166,,
HRV,Croatia,HL70399,"F-R4, F-R6",,,,,HRV,,Croatia,urn:iso:std:iso:3166,,
CUB,Cuba,HL70399,"F-R4, F-R6",,,,,CUB,,Cuba,urn:iso:std:iso:3166,,
CUW,Curaçao,HL70399,"F-R4, F-R6",,,,,CUW,,Curaçao,urn:iso:std:iso:3166,,
CYP,Cyprus,HL70399,"F-R4, F-R6",,,,,CYP,,Cyprus,urn:iso:std:iso:3166,,
CZE,Czechia,HL70399,"F-R4, F-R6",,,,,CZE,,Czechia,urn:iso:std:iso:3166,,
CIV,Côte d'Ivoire,HL70399,"F-R4, F-R6",,,,,CIV,,Côte d'Ivoire,urn:iso:std:iso:3166,,
DNK,Denmark,HL70399,"F-R4, F-R6",,,,,DNK,,Denmark,urn:iso:std:iso:3166,,
DJI,Djibouti,HL70399,"F-R4, F-R6",,,,,DJI,,Djibouti,urn:iso:std:iso:3166,,
DMA,Dominica,HL70399,"F-R4, F-R6",,,,,DMA,,Dominica,urn:iso:std:iso:3166,,
DOM,Dominican Republic (the),HL70399,"F-R4, F-R6",,,,,DOM,,Dominican Republic (the),urn:iso:std:iso:3166,,
ECU,Ecuador,HL70399,"F-R4, F-R6",,,,,ECU,,Ecuador,urn:iso:std:iso:3166,,
EGY,Egypt,HL70399,"F-R4, F-R6",,,,,EGY,,Egypt,urn:iso:std:iso:3166,,
SLV,El Salvador,HL70399,"F-R4, F-R6",,,,,SLV,,El Salvador,urn:iso:std:iso:3166,,
GNQ,Equatorial Guinea,HL70399,"F-R4, F-R6",,,,,GNQ,,Equatorial Guinea,urn:iso:std:iso:3166,,
ERI,Eritrea,HL70399,"F-R4, F-R6",,,,,ERI,,Eritrea,urn:iso:std:iso:3166,,
EST,Estonia,HL70399,"F-R4, F-R6",,,,,EST,,Estonia,urn:iso:std:iso:3166,,
SWZ,Eswatini,HL70399,"F-R4, F-R6",,,,,SWZ,,Eswatini,urn:iso:std:iso:3166,,
ETH,Ethiopia,HL70399,"F-R4, F-R6",,,,,ETH,,Ethiopia,urn:iso:std:iso:3166,,
FLK,Falkland Islands (the) [Malvinas],HL70399,"F-R4, F-R6",,,,,FLK,,Falkland Islands (the) [Malvinas],urn:iso:std:iso:3166,,
FRO,Faroe Islands (the),HL70399,"F-R4, F-R6",,,,,FRO,,Faroe Islands (the),urn:iso:std:iso:3166,,
FJI,Fiji,HL70399,"F-R4, F-R6",,,,,FJI,,Fiji,urn:iso:std:iso:3166,,
FIN,Finland,HL70399,"F-R4, F-R6",,,,,FIN,,Finland,urn:iso:std:iso:3166,,
FRA,France,HL70399,"F-R4, F-R6",,,,,FRA,,France,urn:iso:std:iso:3166,,
GUF,French Guiana,HL70399,"F-R4, F-R6",,,,,GUF,,French Guiana,urn:iso:std:iso:3166,,
PYF,French Polynesia,HL70399,"F-R4, F-R6",,,,,PYF,,French Polynesia,urn:iso:std:iso:3166,,
ATF,French Southern Territories (the),HL70399,"F-R4, F-R6",,,,,ATF,,French Southern Territories (the),urn:iso:std:iso:3166,,
GAB,Gabon,HL70399,"F-R4, F-R6",,,,,GAB,,Gabon,urn:iso:std:iso:3166,,
GMB,Gambia (the),HL70399,"F-R4, F-R6",,,,,GMB,,Gambia (the),urn:iso:std:iso:3166,,
GEO,Georgia,HL70399,"F-R4, F-R6",,,,,GEO,,Georgia,urn:iso:std:iso:3166,,
DEU,Germany,HL70399,"F-R4, F-R6",,,,,DEU,,Germany,urn:iso:std:iso:3166,,
