HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
BOWEL,Bowel,HL70550,"F-R4, F-R6",,,,,BOWEL,,Bowel,http://terminology.hl7.org/CodeSystem/v2-0550,,
BOWLA,"Bowel, Large",HL70550,"F-R4, F-R6",,,,,BOWLA,,"Bowel, Large",http://terminology.hl7.org/CodeSystem/v2-0550,,
BOWSM,"Bowel, Small",HL70550,"F-R4, F-R6",,,,,BOWSM,,"Bowel, Small",http://terminology.hl7.org/CodeSystem/v2-0550,,
BRA,Brachial,HL70550,"F-R4, F-R6",,,,,BRA,,Brachial,http://terminology.hl7.org/CodeSystem/v2-0550,,
BRAIN,Brain,HL70550,"F-R4, F-R6",,,,,BRAIN,,Brain,http://terminology.hl7.org/CodeSystem/v2-0550,,
BCYS,Brain Cyst Fluid,HL70550,"F-R4, F-R6",,,,,BCYS,,Brain Cyst Fluid,http://terminology.hl7.org/CodeSystem/v2-0550,,
BRST,Breast,HL70550,"F-R4, F-R6",,,,,BRST,,Breast,http://terminology.hl7.org/CodeSystem/v2-0550,,
BRSTFL,Breast fluid,HL70550,"F-R4, F-R6",,,,,BRSTFL,,Breast fluid,http://terminology.hl7.org/CodeSystem/v2-0550,,
BRO,Bronchial,HL70550,"F-R4, F-R6",,,,,BRO,,Bronchial,http://terminology.hl7.org/CodeSystem/v2-0550,,
BROCH,Bronchiole/Bronchiolar,HL70550,"F-R4, F-R6",,,,,BROCH,,Bronchiole/Bronchiolar,http://terminology.hl7.org/CodeSystem/v2-0550,,
BRONC,Bronchus/Bronchial,HL70550,"F-R4, F-R6",,,,,BRONC,,Bronchus/Bronchial,http://terminology.hl7.org/CodeSystem/v2-0550,,
BRV,Broviac,HL70550,"F-R4, F-R6",,,,,BRV,,Broviac,http://terminology.hl7.org/CodeSystem/v2-0550,,
BUCCA,Buccal,HL70550,"F-R4, F-R6",,,,,BUCCA,,Buccal,http://terminology.hl7.org/CodeSystem/v2-0550,,
BURSA,Bursa,HL70550,"F-R4, F-R6",,,,,BURSA,,Bursa,http://terminology.hl7.org/CodeSystem/v2-0550,,
BURSF,Bursa Fluid,HL70550,"F-R4, F-R6",,,,,BURSF,,Bursa Fluid,http://terminology.hl7.org/CodeSystem/v2-0550,,
BUTT,Buttocks,HL70550,"F-R4, F-R6",,,,,BUTT,,Buttocks,http://terminology.hl7.org/CodeSystem/v2-0550,,
CALF,Calf,HL70550,"F-R4, F-R6",,,,,CALF,,Calf,http://terminology.hl7.org/CodeSystem/v2-0550,,
CANAL,Canal,HL70550,"F-R4, F-R6",,,,,CANAL,,Canal,http://terminology.hl7.org/CodeSystem/v2-0550,,
CANLI,Canaliculis,HL70550,"F-R4, F-R6",,,,,CANLI,,Canaliculis,http://terminology.hl7.org/CodeSystem/v2-0550,,
CNL,Cannula,HL70550,"F-R4, F-R6",,,,,CNL,,Cannula,http://terminology.hl7.org/CodeSystem/v2-0550,,
CANTH,Canthus,HL70550,"F-R4, F-R6",,,,,CANTH,,Canthus,http://terminology.hl7.org/CodeSystem/v2-0550,,
CDM,Cardiac Muscle,HL70550,"F-R4, F-R6",,,,,CDM,,Cardiac Muscle,http://terminology.hl7.org/CodeSystem/v2-0550,,
CARO,Carotid,HL70550,"F-R4, F-R6",,,,,CARO,,Carotid,http://terminology.hl7.org/CodeSystem/v2-0550,,
CARP,Carpal,HL70550,"F-R4, F-R6",,,,,CARP,,Carpal,http://terminology.hl7.org/CodeSystem/v2-0550,,
CAVIT,Cavity,HL70550,"F-R4, F-R6",,,,,CAVIT,,Cavity,http://terminology.hl7.org/CodeSystem/v2-0550,,
CHE,"Cavity, Chest",HL70550,"F-R4, F-R6",,,,,CHE,,"Cavity, Chest",http://terminology.hl7.org/CodeSystem/v2-0550,,
CECUM,Cecum/Cecal,HL70550,"F-R4, F-R6",,,,,CECUM,,Cecum/Cecal,http://terminology.hl7.org/CodeSystem/v2-0550,,
CSF,Cerebral Spinal Fluid,HL70550,"F-R4, F-R6",,,,,CSF,,Cerebral Spinal Fluid,http://terminology.hl7.org/CodeSystem/v2-0550,,
CVX,Cervix,HL70550,"F-R4, F-R6",,,,,CVX,,Cervix,http://terminology.hl7.org/CodeSystem/v2-0550,,
CERVUT,Cervix/Uterus,HL70550,"F-R4, F-R6",,,,,CERVUT,,Cervix/Uterus,http://terminology.hl7.org/CodeSystem/v2-0550,,
CHEEK,Cheek,HL70550,"F-R4, F-R6",,,,,CHEEK,,Cheek,http://terminology.hl7.org/CodeSystem/v2-0550,,
CHES,Chest,HL70550,"F-R4, F-R6",,,,,CHES,,Chest,http://terminology.hl7.org/CodeSystem/v2-0550,,
CHESTÂ,Chest Tube,HL70550,"F-R4, F-R6",,,,,CHESTÂ,,Chest Tube,http://terminology.hl7.org/CodeSystem/v2-0550,,
CHIN,Chin,HL70550,"F-R4, F-R6",,,,,CHIN,,Chin,http://terminology.hl7.org/CodeSystem/v2-0550,,
CIRCU,Circumcision Site,HL70550,"F-R4, F-R6",,,,,CIRCU,,Circumcision Site,http://terminology.hl7.org/CodeSystem/v2-0550,,
CLAVI,Clavicle/Clavicular,HL70550,"F-R4, F-R6",,,,,CLAVI,,Clavicle/Clavicular,http://terminology.hl7.org/CodeSystem/v2-0550,,
CLITO,Clitoral,HL70550,"F-R4, F-R6",,,,,CLITO,,Clitoral,http://terminology.hl7.org/CodeSystem/v2-0550,,
CLIT,Clitoris,HL70550,"F-R4, F-R6",,,,,CLIT,,Clitoris,http://terminology.hl7.org/CodeSystem/v2-0550,,
COCCG,Coccygeal,HL70550,"F-R4, F-R6",,,,,COCCG,,Coccygeal,http://terminology.hl7.org/CodeSystem/v2-0550,,
