HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
RLAQ,Rt Lower Abd Quadrant,HL70163,"F-R4, F-R6",,,,,RLAQ,,Rt Lower Abd Quadrant,http://terminology.hl7.org/CodeSystem/v2-0163,,
RLFA,Right Lower Forearm,HL70163,"F-R4, F-R6",,,,,RLFA,,Right Lower Forearm,http://terminology.hl7.org/CodeSystem/v2-0163,,
RMFA,Right Mid Forearm,HL70163,"F-R4, F-R6",,,,,RMFA,,Right Mid Forearm,http://terminology.hl7.org/CodeSystem/v2-0163,,
RN,Right Naris,HL70163,"F-R4, F-R6",,,,,RN,,Right Naris,http://terminology.hl7.org/CodeSystem/v2-0163,,
RPC,Right Posterior Chest,HL70163,"F-R4, F-R6",,,,,RPC,,Right Posterior Chest,http://terminology.hl7.org/CodeSystem/v2-0163,,
RSC,Right Subclavian,HL70163,"F-R4, F-R6",,,,,RSC,,Right Subclavian,http://terminology.hl7.org/CodeSystem/v2-0163,,
RT,Right Thigh,HL70163,"F-R4, F-R6",,,,,RT,,Right Thigh,http://terminology.hl7.org/CodeSystem/v2-0163,,
RUA,Right Upper Arm,HL70163,"F-R4, F-R6",,,,,RUA,,Right Upper Arm,http://terminology.hl7.org/CodeSystem/v2-0163,,
RUAQ,Right Upper Abd Quadrant,HL70163,"F-R4, F-R6",,,,,RUAQ,,Right Upper Abd Quadrant,http://terminology.hl7.org/CodeSystem/v2-0163,,
RUFA,Right Upper Forearm,HL70163,"F-R4, F-R6",,,,,RUFA,,Right Upper Forearm,http://terminology.hl7.org/CodeSystem/v2-0163,,
RVL,Right Vastus Lateralis,HL70163,"F-R4, F-R6",,,,,RVL,,Right Vastus Lateralis,http://terminology.hl7.org/CodeSystem/v2-0163,,
RVG,Right Ventragluteal,HL70163,"F-R4, F-R6",,,,,RVG,,Right Ventragluteal,http://terminology.hl7.org/CodeSystem/v2-0163,,
