HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
TE,Teaching,HL70130,"F-R4, F-R6",,,,,TE,,Teaching,http://terminology.hl7.org/CodeSystem/v2-0130,,
HO,Home,HL70130,"F-R4, F-R6",,,,,HO,,Home,http://terminology.hl7.org/CodeSystem/v2-0130,,
MO,Mobile Unit,HL70130,"F-R4, F-R6",,,,,MO,,Mobile Unit,http://terminology.hl7.org/CodeSystem/v2-0130,,
PH,Phone,HL70130,"F-R4, F-R6",,,,,PH,,Phone,http://terminology.hl7.org/CodeSystem/v2-0130,,
