HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
LANR,Lifelong physician number,HL70203,"F-R4, F-R6",,,,,LANR,,Lifelong physician number,http://terminology.hl7.org/CodeSystem/v2-0203,,
LI,Labor and industries number,HL70203,"F-R4, F-R6",,,,,LI,,Labor and industries number,http://terminology.hl7.org/CodeSystem/v2-0203,,
LN,License number,HL70203,"F-R4, F-R6",,,,,LN,,License number,http://terminology.hl7.org/CodeSystem/v2-0203,,
LR,Local Registry ID,HL70203,"F-R4, F-R6",,,,,LR,,Local Registry ID,http://terminology.hl7.org/CodeSystem/v2-0203,,
MA,Patient Medicaid number,HL70203,"F-R4, F-R6",,,,,MA,,Patient Medicaid number,http://terminology.hl7.org/CodeSystem/v2-0203,,
MB,Member Number,HL70203,"F-R4, F-R6",,,,,MB,,Member Number,http://terminology.hl7.org/CodeSystem/v2-0203,,
MC,Patient’s Medicare number,HL70203,"F-R4, F-R6",,,,,MC,,Patient’s Medicare number,http://terminology.hl7.org/CodeSystem/v2-0203,,
MCD,Practitioner Medicaid number,HL70203,"F-R4, F-R6",,,,,MCD,,Practitioner Medicaid number,http://terminology.hl7.org/CodeSystem/v2-0203,,
MCN,Microchip Number,HL70203,"F-R4, F-R6",,,,,MCN,,Microchip Number,http://terminology.hl7.org/CodeSystem/v2-0203,,
MCR,Practitioner Medicare number,HL70203,"F-R4, F-R6",,,,,MCR,,Practitioner Medicare number,http://terminology.hl7.org/CodeSystem/v2-0203,,
MCT,Marriage Certificate,HL70203,"F-R4, F-R6",,,,,MCT,,Marriage Certificate,http://terminology.hl7.org/CodeSystem/v2-0203,,
MD,Medical License number,HL70203,"F-R4, F-R6",,,,,MD,,Medical License number,http://terminology.hl7.org/CodeSystem/v2-0203,,
MI,Military ID number,HL70203,"F-R4, F-R6",,,,,MI,,Military ID number,http://terminology.hl7.org/CodeSystem/v2-0203,,
MR,Medical record number,HL70203,"F-R4, F-R6",,,,,MR,,Medical record number,http://terminology.hl7.org/CodeSystem/v2-0203,,
MRT,Temporary Medical Record Number,HL70203,"F-R4, F-R6",,,,,MRT,,Temporary Medical Record Number,http://terminology.hl7.org/CodeSystem/v2-0203,,
MS,MasterCard,HL70203,"F-R4, F-R6",,,,,MS,,MasterCard,http://terminology.hl7.org/CodeSystem/v2-0203,,
NBSNR,Secondary physician office number,HL70203,"F-R4, F-R6",,,,,NBSNR,,Secondary physician office number,http://terminology.hl7.org/CodeSystem/v2-0203,,
NCT,Naturalization Certificate,HL70203,"F-R4, F-R6",,,,,NCT,,Naturalization Certificate,http://terminology.hl7.org/CodeSystem/v2-0203,,
NE,National employer identifier,HL70203,"F-R4, F-R6",,,,,NE,,National employer identifier,http://terminology.hl7.org/CodeSystem/v2-0203,,
NH,National Health Plan Identifier,HL70203,"F-R4, F-R6",,,,,NH,,National Health Plan Identifier,http://terminology.hl7.org/CodeSystem/v2-0203,,
NI,National unique individual identifier,HL70203,"F-R4, F-R6",,,,,NI,,National unique individual identifier,http://terminology.hl7.org/CodeSystem/v2-0203,,
NII,National Insurance Organization Identifier,HL70203,"F-R4, F-R6",,,,,NII,,National Insurance Organization Identifier,http://terminology.hl7.org/CodeSystem/v2-0203,,
NIIP,National Insurance Payor Identifier (Payor),HL70203,"F-R4, F-R6",,,,,NIIP,,National Insurance Payor Identifier (Payor),http://terminology.hl7.org/CodeSystem/v2-0203,,
NNxxx,National Person Identifier where the xxx is the ISO table 3166 3-character (alphabetic) country code,HL70203,"F-R4, F-R6",,,,,NNxxx,,National Person Identifier where the xxx is the ISO table 3166 3-character (alphabetic) country code,http://terminology.hl7.org/CodeSystem/v2-0203,,
NP,Nurse practitioner number,HL70203,"F-R4, F-R6",,,,,NP,,Nurse practitioner number,http://terminology.hl7.org/CodeSystem/v2-0203,,
NPI,National provider identifier,HL70203,"F-R4, F-R6",,,,,NPI,,National provider identifier,http://terminology.hl7.org/CodeSystem/v2-0203,,
OD,Optometrist license number,HL70203,"F-R4, F-R6",,,,,OD,,Optometrist license number,http://terminology.hl7.org/CodeSystem/v2-0203,,
PA,Physician Assistant number,HL70203,"F-R4, F-R6",,,,,PA,,Physician Assistant number,http://terminology.hl7.org/CodeSystem/v2-0203,,
PC,Parole Card,HL70203,"F-R4, F-R6",,,,,PC,,Parole Card,http://terminology.hl7.org/CodeSystem/v2-0203,,
PCN,Penitentiary/correctional institution Number,HL70203,"F-R4, F-R6",,,,,PCN,,Penitentiary/correctional institution Number,http://terminology.hl7.org/CodeSystem/v2-0203,,
PE,Living Subject Enterprise Number,HL70203,"F-R4, F-R6",,,,,PE,,Living Subject Enterprise Number,http://terminology.hl7.org/CodeSystem/v2-0203,,
PEN,Pension Number,HL70203,"F-R4, F-R6",,,,,PEN,,Pension Number,http://terminology.hl7.org/CodeSystem/v2-0203,,
PI,Patient internal identifier,HL70203,"F-R4, F-R6",,,,,PI,,Patient internal identifier,http://terminology.hl7.org/CodeSystem/v2-0203,,
PN,Person number,HL70203,"F-R4, F-R6",,,,,PN,,Person number,http://terminology.hl7.org/CodeSystem/v2-0203,,
