HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
SST,Serum Separator Tube (Polymer Gel),HL70371,"F-R4, F-R6",,,,,SST,,Serum Separator Tube (Polymer Gel),http://terminology.hl7.org/CodeSystem/v2-0371,,
SILICA,"Siliceous earth, 12 mg",HL70371,"F-R4, F-R6",,,,,SILICA,,"Siliceous earth, 12 mg",http://terminology.hl7.org/CodeSystem/v2-0371,,
NAF,Sodium Fluoride,HL70371,"F-R4, F-R6",,,,,NAF,,Sodium Fluoride,http://terminology.hl7.org/CodeSystem/v2-0371,,
FL100,"Sodium Fluoride, 100mg",HL70371,"F-R4, F-R6",,,,,FL100,,"Sodium Fluoride, 100mg",http://terminology.hl7.org/CodeSystem/v2-0371,,
FL10,"Sodium Fluoride, 10mg",HL70371,"F-R4, F-R6",,,,,FL10,,"Sodium Fluoride, 10mg",http://terminology.hl7.org/CodeSystem/v2-0371,,
NAPS,Sodium polyanethol sulfonate 0.35% in 0.85% sodium chloride,HL70371,"F-R4, F-R6",,,,,NAPS,,Sodium polyanethol sulfonate 0.35% in 0.85% sodium chloride,http://terminology.hl7.org/CodeSystem/v2-0371,,
HEPN,Sodium/Na  Heparin,HL70371,"F-R4, F-R6",,,,,HEPN,,Sodium/Na  Heparin,http://terminology.hl7.org/CodeSystem/v2-0371,,
EDTN,Sodium/Na EDTA,HL70371,"F-R4, F-R6",,,,,EDTN,,Sodium/Na EDTA,http://terminology.hl7.org/CodeSystem/v2-0371,,
SPS,SPS(this should be spelled out if not universally understood),HL70371,"F-R4, F-R6",,,,,SPS,,SPS(this should be spelled out if not universally understood),http://terminology.hl7.org/CodeSystem/v2-0371,,
STUTM,Stuart transport medium,HL70371,"F-R4, F-R6",,,,,STUTM,,Stuart transport medium,http://terminology.hl7.org/CodeSystem/v2-0371,,
THROM,Thrombin,HL70371,"F-R4, F-R6",,,,,THROM,,Thrombin,http://terminology.hl7.org/CodeSystem/v2-0371,,
FDP,Thrombin NIH; soybean trypsin inhibitor (Fibrin Degradation Products),HL70371,"F-R4, F-R6",,,,,FDP,,Thrombin NIH; soybean trypsin inhibitor (Fibrin Degradation Products),http://terminology.hl7.org/CodeSystem/v2-0371,,
THYMOL,Thymol,HL70371,"F-R4, F-R6",,,,,THYMOL,,Thymol,http://terminology.hl7.org/CodeSystem/v2-0371,,
THYO,Thyoglycollate broth,HL70371,"F-R4, F-R6",,,,,THYO,,Thyoglycollate broth,http://terminology.hl7.org/CodeSystem/v2-0371,,
TOLU,Toluene,HL70371,"F-R4, F-R6",,,,,TOLU,,Toluene,http://terminology.hl7.org/CodeSystem/v2-0371,,
URETM,Ureaplasma transport medium,HL70371,"F-R4, F-R6",,,,,URETM,,Ureaplasma transport medium,http://terminology.hl7.org/CodeSystem/v2-0371,,
VIRTM,Viral Transport medium,HL70371,"F-R4, F-R6",,,,,VIRTM,,Viral Transport medium,http://terminology.hl7.org/CodeSystem/v2-0371,,
