HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
,,,"F-R4, F-R6",,,,,vegetarian,,Vegetarian,http://terminology.hl7.org/CodeSystem/diet,,
,,,"F-R4, F-R6",,,,,dairy-free,,Dairy Free,http://terminology.hl7.org/CodeSystem/diet,,
,,,"F-R4, F-R6",,,,,nut-free,,Nut Free,http://terminology.hl7.org/CodeSystem/diet,,
,,,"F-R4, F-R6",,,,,gluten-free,,Gluten Free,http://terminology.hl7.org/CodeSystem/diet,,
,,,"F-R4, F-R6",,,,,vegan,,Vegan,http://terminology.hl7.org/CodeSystem/diet,,
,,,"F-R4, F-R6",,,,,halal,,Halal,http://terminology.hl7.org/CodeSystem/diet,,
,,,"F-R4, F-R6",,,,,kosher,,Kosher,http://terminology.hl7.org/CodeSystem/diet,,
