HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
MDM_T02,"T02, T04, T06, T08, T10",HL7-0354,"F-R4, F-R6",,,,,,,,,,
MFK_M01,"M01, M02, M03, M04, M05, M06, M07, M08, M09, M10, M11",HL7-0354,"F-R4, F-R6",,,,,,,,,,
MFN_M01,,HL7-0354,"F-R4, F-R6",,,,,,,,,,
MFN_M02,M02,HL7-0354,"F-R4, F-R6",,,,,,,,,,
MFN_M03,M03,HL7-0354,"F-R4, F-R6",,,,,,,,,,
MFN_M04,M04,HL7-0354,"F-R4, F-R6",,,,,,,,,,
MFN_M05,M05,HL7-0354,"F-R4, F-R6",,,,,,,,,,
MFN_M06,M06,HL7-0354,"F-R4, F-R6",,,,,,,,,,
MFN_M07,M07,HL7-0354,"F-R4, F-R6",,,,,,,,,,
MFN_M08,M08,HL7-0354,"F-R4, F-R6",,,,,,,,,,
MFN_M09,M09,HL7-0354,"F-R4, F-R6",,,,,,,,,,
MFN_M10,M10,HL7-0354,"F-R4, F-R6",,,,,,,,,,
MFN_M11,M11,HL7-0354,"F-R4, F-R6",,,,,,,,,,
MFN_M12,M12,HL7-0354,"F-R4, F-R6",,,,,,,,,,
MFN_M13,M13,HL7-0354,"F-R4, F-R6",,,,,,,,,,
MFN_M15,M15,HL7-0354,"F-R4, F-R6",,,,,,,,,,
MFN_M16,M16,HL7-0354,"F-R4, F-R6",,,,,,,,,,
MFN_M17,M17,HL7-0354,"F-R4, F-R6",,,,,,,,,,
MFN_M18,M18,HL7-0354,"F-R4, F-R6",,,,,,,,,,
MFQ_M01,"M01, M02, M03, M04, M05, M06",HL7-0354,"F-R4, F-R6",,,,,,,,,,
MFR_M01,"M01, M02, M03,",HL7-0354,"F-R4, F-R6",,,,,,,,,,
MFR_M04,M04,HL7-0354,"F-R4, F-R6",,,,,,,,,,
