HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
TMCH,"Transport Media, Chalamydia",HL70488,"F-R4, F-R6",,,,,TMCH,,"Transport Media, Chalamydia",http://terminology.hl7.org/CodeSystem/v2-0488,,
TMM4,"Transport Media, M4",HL70488,"F-R4, F-R6",,,,,TMM4,,"Transport Media, M4",http://terminology.hl7.org/CodeSystem/v2-0488,,
TMMY,"Transport Media, Mycoplasma",HL70488,"F-R4, F-R6",,,,,TMMY,,"Transport Media, Mycoplasma",http://terminology.hl7.org/CodeSystem/v2-0488,,
TMPV,"Transport Media, PVA",HL70488,"F-R4, F-R6",,,,,TMPV,,"Transport Media, PVA",http://terminology.hl7.org/CodeSystem/v2-0488,,
TMSC,"Transport Media, Stool Culture",HL70488,"F-R4, F-R6",,,,,TMSC,,"Transport Media, Stool Culture",http://terminology.hl7.org/CodeSystem/v2-0488,,
TMUP,"Transport Media, Ureaplasma",HL70488,"F-R4, F-R6",,,,,TMUP,,"Transport Media, Ureaplasma",http://terminology.hl7.org/CodeSystem/v2-0488,,
TMVI,"Transport Media, Viral",HL70488,"F-R4, F-R6",,,,,TMVI,,"Transport Media, Viral",http://terminology.hl7.org/CodeSystem/v2-0488,,
VENIP,Venipuncture,HL70488,"F-R4, F-R6",,,,,VENIP,,Venipuncture,http://terminology.hl7.org/CodeSystem/v2-0488,,
,,,"F-R4, F-R6",,,,,129316008,,Aspiration - action,http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,129300006,,Puncture - action,http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,129304002,,Excision - action,http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,73416001,,"Urine specimen collection, clean catch",http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,225113003,,Timed urine collection,http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,70777001,,"Urine specimen collection, catheterized",http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,386089008,,Collection of coughed sputum,http://snomed.info/sct,,
,,,"F-R4, F-R6",,,,,278450005,,Finger-prick sampling,http://snomed.info/sct,,
