HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
G,Prefix Given Middle Family Suffix,HL70444,"F-R4, F-R6",,,,,G,,Prefix Given Middle Family Suffix,http://terminology.hl7.org/CodeSystem/v2-0444,,
F,Prefix Family Middle Given Suffix,HL70444,"F-R4, F-R6",,,,,F,,Prefix Family Middle Given Suffix,http://terminology.hl7.org/CodeSystem/v2-0444,,
