HL7 v2,,,Condition (IF True),,,HL7 FHIR,,,,,Comments
HKG,Hong Kong,HL70399,,,,HKG,,Hong Kong,urn:iso:std:iso:3166,,
HUN,Hungary,HL70399,,,,HUN,,Hungary,urn:iso:std:iso:3166,,
ISL,Iceland,HL70399,,,,ISL,,Iceland,urn:iso:std:iso:3166,,
IND,India,HL70399,,,,IND,,India,urn:iso:std:iso:3166,,
IDN,Indonesia,HL70399,,,,IDN,,Indonesia,urn:iso:std:iso:3166,,
IRN,Iran (Islamic Republic of),HL70399,,,,IRN,,Iran (Islamic Republic of),urn:iso:std:iso:3166,,
IRQ,Iraq,HL70399,,,,IRQ,,Iraq,urn:iso:std:iso:3166,,
IRL,Ireland,HL70399,,,,IRL,,Ireland,urn:iso:std:iso:3166,,
IMN,Isle of Man,HL70399,,,,IMN,,Isle of Man,urn:iso:std:iso:3166,,
ISR,Israel,HL70399,,,,ISR,,Israel,urn:iso:std:iso:3166,,
ITA,Italy,HL70399,,,,ITA,,Italy,urn:iso:std:iso:3166,,
JAM,Jamaica,HL70399,,,,JAM,,Jamaica,urn:iso:std:iso:3166,,
JPN,Japan,HL70399,,,,JPN,,Japan,urn:iso:std:iso:3166,,
JEY,Jersey,HL70399,,,,JEY,,Jersey,urn:iso:std:iso:3166,,
JOR,Jordan,HL70399,,,,JOR,,Jordan,urn:iso:std:iso:3166,,
KAZ,Kazakhstan,HL70399,,,,KAZ,,Kazakhstan,urn:iso:std:iso:3166,,
KEN,Kenya,HL70399,,,,KEN,,Kenya,urn:iso:std:iso:3166,,
KIR,Kiribati,HL70399,,,,KIR,,Kiribati,urn:iso:std:iso:3166,,
PRK,Korea (the Democratic People's Republic of),HL70399,,,,PRK,,Korea (the Democratic People's Republic of),urn:iso:std:iso:3166,,
KOR,Korea (the Republic of),HL70399,,,,KOR,,Korea (the Republic of),urn:iso:std:iso:3166,,
KWT,Kuwait,HL70399,,,,KWT,,Kuwait,urn:iso:std:iso:3166,,
KGZ,Kyrgyzstan,HL70399,,,,KGZ,,Kyrgyzstan,urn:iso:std:iso:3166,,
LAO,Lao People's Democratic Republic (the),HL70399,,,,LAO,,Lao People's Democratic Republic (the),urn:iso:std:iso:3166,,
LVA,Latvia,HL70399,,,,LVA,,Latvia,urn:iso:std:iso:3166,,
LBN,Lebanon,HL70399,,,,LBN,,Lebanon,urn:iso:std:iso:3166,,
LSO,Lesotho,HL70399,,,,LSO,,Lesotho,urn:iso:std:iso:3166,,
LBR,Liberia,HL70399,,,,LBR,,Liberia,urn:iso:std:iso:3166,,
LBY,Libya,HL70399,,,,LBY,,Libya,urn:iso:std:iso:3166,,
LIE,Liechtenstein,HL70399,,,,LIE,,Liechtenstein,urn:iso:std:iso:3166,,
LTU,Lithuania,HL70399,,,,LTU,,Lithuania,urn:iso:std:iso:3166,,
LUX,Luxembourg,HL70399,,,,LUX,,Luxembourg,urn:iso:std:iso:3166,,
MAC,Macao,HL70399,,,,MAC,,Macao,urn:iso:std:iso:3166,,
MDG,Madagascar,HL70399,,,,MDG,,Madagascar,urn:iso:std:iso:3166,,
MWI,Malawi,HL70399,,,,MWI,,Malawi,urn:iso:std:iso:3166,,
MYS,Malaysia,HL70399,,,,MYS,,Malaysia,urn:iso:std:iso:3166,,
MDV,Maldives,HL70399,,,,MDV,,Maldives,urn:iso:std:iso:3166,,
MLI,Mali,HL70399,,,,MLI,,Mali,urn:iso:std:iso:3166,,
MLT,Malta,HL70399,,,,MLT,,Malta,urn:iso:std:iso:3166,,
MHL,Marshall Islands (the),HL70399,,,,MHL,,Marshall Islands (the),urn:iso:std:iso:3166,,
MTQ,Martinique,HL70399,,,,MTQ,,Martinique,urn:iso:std:iso:3166,,
MRT,Mauritania,HL70399,,,,MRT,,Mauritania,urn:iso:std:iso:3166,,
MUS,Mauritius,HL70399,,,,MUS,,Mauritius,urn:iso:std:iso:3166,,
MYT,Mayotte,HL70399,,,,MYT,,Mayotte,urn:iso:std:iso:3166,,
MEX,Mexico,HL70399,,,,MEX,,Mexico,urn:iso:std:iso:3166,,
FSM,Micronesia (Federated States of),HL70399,,,,FSM,,Micronesia (Federated States of),urn:iso:std:iso:3166,,
MDA,Moldova (the Republic of),HL70399,,,,MDA,,Moldova (the Republic of),urn:iso:std:iso:3166,,
MCO,Monaco,HL70399,,,,MCO,,Monaco,urn:iso:std:iso:3166,,
MNG,Mongolia,HL70399,,,,MNG,,Mongolia,urn:iso:std:iso:3166,,
MNE,Montenegro,HL70399,,,,MNE,,Montenegro,urn:iso:std:iso:3166,,
MSR,Montserrat,HL70399,,,,MSR,,Montserrat,urn:iso:std:iso:3166,,
MAR,Morocco,HL70399,,,,MAR,,Morocco,urn:iso:std:iso:3166,,
MOZ,Mozambique,HL70399,,,,MOZ,,Mozambique,urn:iso:std:iso:3166,,
MMR,Myanmar,HL70399,,,,MMR,,Myanmar,urn:iso:std:iso:3166,,
NAM,Namibia,HL70399,,,,NAM,,Namibia,urn:iso:std:iso:3166,,
NRU,Nauru,HL70399,,,,NRU,,Nauru,urn:iso:std:iso:3166,,
NPL,Nepal,HL70399,,,,NPL,,Nepal,urn:iso:std:iso:3166,,
NLD,Netherlands (Kingdom of the),HL70399,,,,NLD,,Netherlands (Kingdom of the),urn:iso:std:iso:3166,,
NCL,New Caledonia,HL70399,,,,NCL,,New Caledonia,urn:iso:std:iso:3166,,
NZL,New Zealand,HL70399,,,,NZL,,New Zealand,urn:iso:std:iso:3166,,
NIC,Nicaragua,HL70399,,,,NIC,,Nicaragua,urn:iso:std:iso:3166,,
NER,Niger (the),HL70399,,,,NER,,Niger (the),urn:iso:std:iso:3166,,
NGA,Nigeria,HL70399,,,,NGA,,Nigeria,urn:iso:std:iso:3166,,
NIU,Niue,HL70399,,,,NIU,,Niue,urn:iso:std:iso:3166,,
NFK,Norfolk Island,HL70399,,,,NFK,,Norfolk Island,urn:iso:std:iso:3166,,
MKD,North Macedonia,HL70399,,,,MKD,,North Macedonia,urn:iso:std:iso:3166,,
MNP,Northern Mariana Islands (the),HL70399,,,,MNP,,Northern Mariana Islands (the),urn:iso:std:iso:3166,,
NOR,Norway,HL70399,,,,NOR,,Norway,urn:iso:std:iso:3166,,
OMN,Oman,HL70399,,,,OMN,,Oman,urn:iso:std:iso:3166,,
PAK,Pakistan,HL70399,,,,PAK,,Pakistan,urn:iso:std:iso:3166,,
PLW,Palau,HL70399,,,,PLW,,Palau,urn:iso:std:iso:3166,,
PSE,"Palestine, State of",HL70399,,,,PSE,,"Palestine, State of",urn:iso:std:iso:3166,,
PAN,Panama,HL70399,,,,PAN,,Panama,urn:iso:std:iso:3166,,
PNG,Papua New Guinea,HL70399,,,,PNG,,Papua New Guinea,urn:iso:std:iso:3166,,
PRY,Paraguay,HL70399,,,,PRY,,Paraguay,urn:iso:std:iso:3166,,
PER,Peru,HL70399,,,,PER,,Peru,urn:iso:std:iso:3166,,
PHL,Philippines (the),HL70399,,,,PHL,,Philippines (the),urn:iso:std:iso:3166,,
PCN,Pitcairn,HL70399,,,,PCN,,Pitcairn,urn:iso:std:iso:3166,,
POL,Poland,HL70399,,,,POL,,Poland,urn:iso:std:iso:3166,,
PRT,Portugal,HL70399,,,,PRT,,Portugal,urn:iso:std:iso:3166,,
PRI,Puerto Rico,HL70399,,,,PRI,,Puerto Rico,urn:iso:std:iso:3166,,
QAT,Qatar,HL70399,,,,QAT,,Qatar,urn:iso:std:iso:3166,,
