HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
A,Alias name,HL70204,"F-R4, F-R6",,,,,A,,Alias name,http://terminology.hl7.org/CodeSystem/v2-0204,,
L,Legal name,HL70204,"F-R4, F-R6",,,,,L,,Legal name,http://terminology.hl7.org/CodeSystem/v2-0204,,
D,Display name,HL70204,"F-R4, F-R6",,,,,D,,Display name,http://terminology.hl7.org/CodeSystem/v2-0204,,
SL,Stock exchange listing name,HL70204,"F-R4, F-R6",,,,,SL,,Stock exchange listing name,http://terminology.hl7.org/CodeSystem/v2-0204,,
