HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
C,Closed,HL70116,"F-R4, F-R6",,,,,C,,Closed,http://terminology.hl7.org/CodeSystem/v2-0116,,
H,Housekeeping,HL70116,"F-R4, F-R6",,,,,H,,Housekeeping,http://terminology.hl7.org/CodeSystem/v2-0116,,
O,Occupied,HL70116,"F-R4, F-R6",,,,,O,,Occupied,http://terminology.hl7.org/CodeSystem/v2-0116,,
U,Unoccupied,HL70116,"F-R4, F-R6",,,,,U,,Unoccupied,http://terminology.hl7.org/CodeSystem/v2-0116,,
K,Contaminated,HL70116,"F-R4, F-R6",,,,,K,,Contaminated,http://terminology.hl7.org/CodeSystem/v2-0116,,
I,Isolated,HL70116,"F-R4, F-R6",,,,,I,,Isolated,http://terminology.hl7.org/CodeSystem/v2-0116,,
