HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
,,,"F-R4, F-R6",,,,,s,,second,http://unitsofmeasure.org/,,
,,,"F-R4, F-R6",,,,,min,,minute,http://unitsofmeasure.org/,,
,,,"F-R4, F-R6",,,,,h,,hour,http://unitsofmeasure.org/,,
,,,"F-R4, F-R6",,,,,d,,day,http://unitsofmeasure.org/,,
,,,"F-R4, F-R6",,,,,wk,,week,http://unitsofmeasure.org/,,
,,,"F-R4, F-R6",,,,,mo,,month,http://unitsofmeasure.org/,,
,,,"F-R4, F-R6",,,,,a,,year,http://unitsofmeasure.org/,,
